t,C_eth,C_ace,C_dia
0.000000,0.000000,0.000000,0.000000
1.000000,0.033595,0.000013,0.002815
2.000000,0.085114,0.000033,0.007131
3.000000,0.153955,0.000059,0.012891
4.000000,0.239523,0.000092,0.020044
5.000000,0.341231,0.000131,0.028532
6.000000,0.458497,0.000176,0.038300
7.000000,0.590747,0.000227,0.049290
8.000000,0.737416,0.000284,0.061444
9.000000,0.897948,0.000346,0.074704
10.000000,1.071794,0.000413,0.089009
11.000000,1.258418,0.000486,0.104301
12.000000,1.457291,0.000563,0.120518
13.000000,1.667898,0.000646,0.137599
14.000000,1.889731,0.000732,0.155481
15.000000,2.122294,0.000824,0.174104
16.000000,2.365103,0.000919,0.193405
17.000000,2.617682,0.001019,0.213320
18.000000,2.879571,0.001123,0.233789
19.000000,3.150315,0.001231,0.254747
20.000000,3.429476,0.001342,0.276133
21.000000,3.716622,0.001458,0.297885
22.000000,4.011337,0.001576,0.319941
23.000000,4.313211,0.001698,0.342239
24.000000,4.621849,0.001823,0.364719
25.000000,4.936863,0.001952,0.387321
26.000000,5.257880,0.002083,0.409986
27.000000,5.584533,0.002217,0.432655
28.000000,5.916469,0.002354,0.455273
29.000000,6.253342,0.002494,0.477782
30.000000,6.594819,0.002636,0.500129
31.000000,6.940574,0.002781,0.522260
32.000000,7.290292,0.002928,0.544124
33.000000,7.643667,0.003077,0.565670
34.000000,8.000403,0.003228,0.586851
35.000000,8.360211,0.003382,0.607620
36.000000,8.722811,0.003537,0.627932
37.000000,9.087933,0.003695,0.647744
38.000000,9.455313,0.003854,0.667017
39.000000,9.824697,0.004015,0.685711
40.000000,10.195836,0.004177,0.703790
41.000000,10.568490,0.004341,0.721220
42.000000,10.942427,0.004507,0.737969
43.000000,11.317419,0.004673,0.754007
44.000000,11.693246,0.004841,0.769308
45.000000,12.069696,0.005011,0.783845
46.000000,12.446559,0.005181,0.797596
47.000000,12.823634,0.005353,0.810541
48.000000,13.200724,0.005525,0.822662
49.000000,13.577637,0.005699,0.833943
50.000000,13.954187,0.005873,0.844371
51.000000,14.330192,0.006048,0.853935
52.000000,14.705636,0.006223,0.862636
53.000000,15.080450,0.006400,0.870472
54.000000,15.454445,0.006577,0.877439
55.000000,15.827438,0.006754,0.883530
56.000000,16.199245,0.006932,0.888744
57.000000,16.569689,0.007111,0.893081
58.000000,16.938591,0.007289,0.896542
59.000000,17.305777,0.007468,0.899132
60.000000,17.671073,0.007647,0.900857
61.000000,18.034309,0.007826,0.901725
62.000000,18.395313,0.008006,0.901745
63.000000,18.753915,0.008184,0.900928
64.000000,19.109945,0.008363,0.899289
65.000000,19.463233,0.008541,0.896841
66.000000,19.813608,0.008719,0.893601
67.000000,20.160898,0.008896,0.889587
68.000000,20.504931,0.009073,0.884818
69.000000,20.845531,0.009249,0.879315
70.000000,21.182520,0.009424,0.873098
71.000000,21.515719,0.009598,0.866192
72.000000,21.844943,0.009771,0.858619
73.000000,22.170006,0.009943,0.850405
74.000000,22.490715,0.010113,0.841575
75.000000,22.806875,0.010282,0.832156
76.000000,23.118283,0.010449,0.822175
77.000000,23.424732,0.010615,0.811660
78.000000,23.726009,0.010778,0.800641
79.000000,24.021893,0.010940,0.789145
80.000000,24.312160,0.011099,0.777203
81.000000,24.596575,0.011256,0.764844
82.000000,24.874899,0.011410,0.752100
83.000000,25.146886,0.011562,0.739000
84.000000,25.412284,0.011711,0.725576
85.000000,25.670835,0.011856,0.711858
86.000000,25.922277,0.011998,0.697879
87.000000,26.166345,0.012137,0.683668
88.000000,26.402775,0.012272,0.669258
89.000000,26.631301,0.012403,0.654679
90.000000,26.851664,0.012529,0.639962
91.000000,27.063612,0.012652,0.625138
92.000000,27.266905,0.012770,0.610238
93.000000,27.461322,0.012883,0.595292
94.000000,27.646662,0.012991,0.580328
95.000000,27.822753,0.013094,0.565377
96.000000,27.989461,0.013192,0.550466
97.000000,28.146688,0.013285,0.535623
98.000000,28.294387,0.013373,0.520874
99.000000,28.432561,0.013455,0.506245
100.000000,28.561270,0.013531,0.491760
