T_pre,T_post,ManufacturingTime,C_dia
286.950000,286.850000,68.225000,1.383125
286.950000,286.950000,67.430000,1.413999
286.950000,287.050000,66.642000,1.445035
286.950000,287.150000,65.862000,1.476192
286.950000,287.250000,65.091000,1.507431
286.950000,287.350000,64.327000,1.538791
286.950000,287.450000,63.572000,1.570204
286.950000,287.550000,62.826000,1.601654
286.950000,287.650000,62.089000,1.633126
286.950000,287.750000,61.361000,1.664603
286.950000,0.000000,17.865000,nan
286.950000,0.000000,17.865000,nan
287.050000,286.250000,72.888000,1.206122
287.050000,286.350000,72.051000,1.235915
287.050000,286.450000,71.220000,1.265951
287.050000,286.550000,70.395000,1.296223
287.050000,286.650000,69.578000,1.326669
287.050000,286.750000,68.767000,1.357336
287.050000,286.850000,67.963000,1.388187
287.050000,286.950000,67.166000,1.419210
287.050000,287.050000,66.378000,1.450341
287.050000,287.150000,65.597000,1.481622
287.050000,287.250000,64.824000,1.513012
287.050000,287.350000,64.060000,1.544470
287.050000,287.450000,63.304000,1.576008
287.050000,287.550000,62.557000,1.607583
287.050000,287.650000,61.819000,1.639181
287.050000,287.750000,61.090000,1.670782
287.050000,0.000000,17.660000,nan
287.050000,0.000000,17.660000,nan
287.150000,286.250000,72.637000,1.210339
287.150000,286.350000,71.798000,1.240272
287.150000,286.450000,70.966000,1.270422
287.150000,286.550000,70.140000,1.300810
287.150000,286.650000,69.321000,1.331400
287.150000,286.750000,68.509000,1.362185
287.150000,286.850000,67.704000,1.393154
287.150000,286.950000,66.907000,1.424271
287.150000,287.050000,66.117000,1.455550
287.150000,287.150000,65.335000,1.486952
287.150000,287.250000,64.561000,1.518464
287.150000,287.350000,63.796000,1.550044
287.150000,287.450000,63.039000,1.581705
287.150000,287.550000,62.291000,1.613403
287.150000,287.650000,61.553000,1.645098
287.150000,287.750000,60.823000,1.676822
287.150000,0.000000,17.458000,nan
287.150000,0.000000,17.458000,nan
287.250000,286.250000,72.390000,1.214458
287.250000,286.350000,71.550000,1.244501
287.250000,286.450000,70.716000,1.274790
287.250000,286.550000,69.889000,1.305291
287.250000,286.650000,69.069000,1.335996
287.250000,286.750000,68.256000,1.366896
287.250000,286.850000,67.450000,1.397982
287.250000,286.950000,66.651000,1.429244
287.250000,287.050000,65.860000,1.460641
287.250000,287.150000,65.077000,1.492162
287.250000,287.250000,64.303000,1.523767
287.250000,287.350000,63.537000,1.555467
287.250000,287.450000,62.779000,1.587248
287.250000,287.550000,62.030000,1.619067
287.250000,287.650000,61.291000,1.650882
287.250000,287.750000,60.560000,1.682727
287.250000,0.000000,17.258000,nan
287.250000,0.000000,17.258000,nan
287.350000,286.250000,72.147000,1.218480
287.350000,286.350000,71.306000,1.248631
287.350000,286.450000,70.471000,1.279030
287.350000,286.550000,69.643000,1.309641
287.350000,286.650000,68.821000,1.340486
287.350000,286.750000,68.007000,1.371499
287.350000,286.850000,67.200000,1.402700
287.350000,286.950000,66.400000,1.434076
287.350000,287.050000,65.608000,1.465590
287.350000,287.150000,64.824000,1.497228
287.350000,287.250000,64.049000,1.528949
287.350000,287.350000,63.282000,1.560767
287.350000,287.450000,62.523000,1.592666
287.350000,287.550000,61.774000,1.624577
287.350000,287.650000,61.033000,1.656536
287.350000,0.000000,17.060000,nan
287.350000,0.000000,17.060000,nan
287.450000,286.250000,71.908000,1.222398
287.450000,286.350000,71.066000,1.252656
287.450000,286.450000,70.230000,1.283162
287.450000,286.550000,69.400000,1.313910
287.450000,286.650000,68.578000,1.344837
287.450000,286.750000,67.762000,1.375990
287.450000,286.850000,66.954000,1.407303
287.450000,286.950000,66.153000,1.438793
287.450000,287.050000,65.360000,1.470420
287.450000,287.150000,64.575000,1.502173
287.450000,287.250000,63.799000,1.534010
287.450000,287.350000,63.031000,1.565943
287.450000,287.450000,62.272000,1.597931
287.450000,287.550000,61.521000,1.629984
287.450000,287.650000,60.780000,1.662033
